dim,max_L,num_delays,use_delays,maxiter,optimizer_name,loss_name,tol,max_evals,symmetric_delays,constant_learning_rate,num_tests,filename,num_test_initials,print_log,vary_percent,hyper_minimize,clip_grad,clip_val,min_val,max_val,test_time,percent_converge,num_initial_values,max_learning_rate,min_learning_rate,step_size,best_loss
1000,1,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_1000d_1L,100,False,0.1,loss,False,1.0,-10.0,10.0,10701.495,0.0212,5000,0.9418515842878452,0.288250554027674,1600.0,2544.5472008669867
1000,2,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_1000d_2L,100,False,0.1,loss,False,1.0,-10.0,10.0,9994.159,0.0,5000,1.046019647555528,0.121242865343059,2000.0,2596.3884155244814
1000,3,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_1000d_3L,100,False,0.1,loss,False,1.0,-10.0,10.0,9969.829,0.0,5000,0.303675707879181,0.195496315155651,300.0,2768.1427041807046
1000,4,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_1000d_4L,100,False,0.1,loss,False,1.0,-10.0,10.0,10848.933,0.0182,5000,0.8381877575486351,0.6249428465009811,1300.0,2834.8555698188384
1000,5,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_1000d_5L,100,False,0.1,loss,False,1.0,-10.0,10.0,10855.423,0.0,5000,3.681789886343968,0.584804744096824,1300.0,2906.2282377318406
100,1,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_100d_1L,100,False,0.1,loss,False,1.0,-10.0,10.0,7351.67,0.027,5000,1.868186339712024,0.398298637097019,300.0,239.51139146122185
100,2,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_100d_2L,100,False,0.1,loss,False,1.0,-10.0,10.0,6729.863,0.0072,5000,3.538031415266531,0.8216011241784851,800.0,244.5168896255138
100,3,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_100d_3L,100,False,0.1,loss,False,1.0,-10.0,10.0,6851.074,0.0024,5000,3.172388311754285,0.077237461643967,1700.0,246.90701574411216
100,4,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_100d_4L,100,False,0.1,loss,False,1.0,-10.0,10.0,7318.766,0.007,5000,1.663625472700754,0.9224163832629332,1100.0,266.1274746163341
100,5,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_100d_5L,100,False,0.1,loss,False,1.0,-10.0,10.0,7395.983,0.0066,5000,1.897647888600885,0.237024818925548,1900.0,267.74016741233817
10,1,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_10d_1L,100,False,0.1,loss,False,1.0,-10.0,10.0,6476.572,0.2778,5000,1.017224076242377,0.5450281152169071,1900.0,12.032370929274402
10,2,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_10d_2L,100,False,0.1,loss,False,1.0,-10.0,10.0,5936.191,0.1804,5000,2.164120072756687,0.157548950195716,1500.0,12.412451773649
10,3,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_10d_3L,100,False,0.1,loss,False,1.0,-10.0,10.0,6030.592,0.1102,5000,0.445746493596757,0.508859833722221,1900.0,15.356169785014677
10,4,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_10d_4L,100,False,0.1,loss,False,1.0,-10.0,10.0,6626.19,0.0496,5000,1.920635491593429,0.9240807645758692,900.0,15.233151759779426
10,5,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_10d_5L,100,False,0.1,loss,False,1.0,-10.0,10.0,6593.932,0.0538,5000,2.077262724671794,0.064838273158449,1800.0,16.300149177280268
2,1,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_2d_1L,100,False,0.1,loss,False,1.0,-10.0,10.0,2577.02,0.9466,5000,2.220751561553596,0.80964884842393,400.0,3.161409613395613
2,2,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_2d_2L,100,False,0.1,loss,False,1.0,-10.0,10.0,2271.663,0.937,5000,2.33378119332786,0.674902702661343,2100.0,3.862076035814496
2,3,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_2d_3L,100,False,0.1,loss,False,1.0,-10.0,10.0,2325.322,0.9398,5000,2.31066768661742,0.420952875791112,1500.0,4.253215070540073
2,4,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_2d_4L,100,False,0.1,loss,False,1.0,-10.0,10.0,2506.872,0.9058,5000,3.661488832946997,0.278586289734185,1600.0,4.221786185509273
2,5,1000,True,3000,Adam,Rosenbrock,1e-05,200,True,False,5,Rand_Del_Rosen_2d_5L,100,False,0.1,loss,False,1.0,-10.0,10.0,2613.41,0.9006000000000001,5000,1.291355623010344,0.592671814242105,100.0,4.340815887355549
1000,1,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Rand_Del_Zak_1000d_1L,100,False,0.1,loss,False,1.0,-10.0,10.0,8312.235,0.9728,5000,1.258359218745357,0.430608895518676,2200.0,2878287290.0061765
1000,2,1000,True,3000,Adam,Zakharov,1e-05,200,True,False,5,Rand_Del_Zak_1000d_2L,100,False,0.1,loss,False,1.0,-10.0,10.0,9080.836,0.9614,5000,3.988393343239794,0.469110108821027,1200.0,2890216139.7578354
