loss_name,dim,delay_type,lr_type,learning_rate
Ackley,2,undelayed,const,1.85721428571429
Ackley,10,undelayed,const,0.356360766680998
Ackley,100,undelayed,const,0.143927494378293
Ackley,1000,undelayed,const,0.087579721240169
Ackley,2,stochastic,const,1.33067690501033
Ackley,10,stochastic,const,1.42885714285714
Ackley,100,stochastic,const,1.44148801018898
Ackley,1000,stochastic,const,1.40918128594683
Rastrigin,2,undelayed,const,0.510334818569094
Rastrigin,10,undelayed,const,0.513701966615492
Rastrigin,100,undelayed,const,0.51114689564692
Rastrigin,1000,undelayed,const,0.518119401111126
Rastrigin,2,stochastic,const,0.506103165038649
Rastrigin,10,stochastic,const,0.578173243431346
Rastrigin,100,stochastic,const,0.572142857142857
Rastrigin,1000,stochastic,const,0.572142857142857
Rosenbrock,2,undelayed,const,3.94647350971932
Rosenbrock,10,undelayed,const,0.566837845876878
Rosenbrock,100,undelayed,const,0.329639308828399
Rosenbrock,1000,undelayed,const,0.310612039345774
Rosenbrock,2,stochastic,const,3.57905263157895
Rosenbrock,10,stochastic,const,0.421947368421053
Rosenbrock,100,stochastic,const,0.266178324489324
Rosenbrock,1000,stochastic,const,0.268033972561053
Zakharov,2,undelayed,const,1.73889481723777
Zakharov,10,undelayed,const,3.97646574749106
Zakharov,100,undelayed,const,2.41455172413793
Zakharov,1000,undelayed,const,0.986621657063249
Zakharov,2,stochastic,const,4.125375
Zakharov,10,stochastic,const,2.76109419287542
Zakharov,100,stochastic,const,0.391382192771158
Zakharov,1000,stochastic,const,5.17289655172414
