bay_cost,3.2112850399729115e+19,2.2344435043754725e+19,129.28481299521331,20.474840333740815,1292.3954213346958,32499.761531364224,1.3297544040718028,451.5871593952618,172.5513648289384,609000169664.4822,12452654.698056275,10.49479111830925,5902.342219311493,32.46742373615188,86.68734932520293,4.470857014217974,330.2741584370287,15.199641999456444,806.4222167914924,3.4552018522602505e-07,55.777203537166365,60.95370160374711,19.49376297005751,7.16384020116884,19.390087910125544,19.502210647327683,8027.291631464844,3.8773942783581083,33747.64435573635,17.571067309489298,3.872605695615702e-07,17.03728567426088,82.19969698489417,3469.2260127450004,10575545078613.457
bay_min,3.9313091305124415,2.7014399310456416,0.29244600544680555,0.33088864331881623,0.25519841029166285,4.125375,0.5881086073725371,0.4021746296119238,0.3132937200796767,4.8082970772779365,5.097658633698732,1.321163976103342,4.210473684210526,0.5781732434313462,2.637456028616116,1.4432404289763912,0.5556226048112088,0.45333343811591487,0.546126993562131,3.899553528914973,2.5753980426169307,4.125375,0.14385684196715892,1.4116430761199532,0.014562140160072675,0.14411707425772977,0.5146939329375888,1.3976476735753185,0.6113689521978659,0.3174997482300931,2.8590235098149,1.92800055750698,0.48739991626938584,0.633801215843699,1.5932476429672988
bayesian_samples,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
cost_function,zakharov,zakharov,rosenbrock,rosenbrock,rosenbrock,zakharov,rosenbrock,rosenbrock,rosenbrock,zakharov,zakharov,ackley,rosenbrock,rastrigin,zakharov,ackley,rastrigin,rastrigin,rastrigin,rosenbrock,zakharov,zakharov,ackley,ackley,ackley,ackley,rastrigin,ackley,rastrigin,rastrigin,zakharov,ackley,rastrigin,rastrigin,zakharov
dim,10000,10000,100,100,1000,100,10,10,1000,1000,100,2,2,10,10,100,100,2,100,2,10,2,100,10,10,1000,1000,1000,10000,2,2,2,10,1000,1000
filename,Zakharov_Delayed_10000,Zakharov_UnDelayed_10000,Rosenbrock_Delayed_100,rosenbrock_UnDelayed_100,Rosenbrock_Delayed_1000,Zakharov_Delayed_100,rosenbrock_UnDelayed_10,Rosenbrock_Delayed_10,rosenbrock_UnDelayed_1000,Zakharov_Delayed_1000,Zakharov_UnDelayed_100,Ackley_Delayed_2,Rosenbrock_Delayed_2,Rastrigin_Delayed_10,Zakharov_Delayed_10,Ackley_Delayed_100,Rastrigin_Delayed_100,Rastrigin_Delayed_2,Rastrigin_UnDelayed_100,rosenbrock_UnDelayed_2,Zakharov_UnDelayed_10,Zakharov_Delayed_2,Ackley_UnDelayed_100,Ackley_Delayed_10,Ackley_UnDelayed_10,Ackley_UnDelayed_1000,Rastrigin_UnDelayed_1000,Ackley_Delayed_1000,Rastrigin_Delayed_10000,Rastrigin_UnDelayed_2,Zakharov_UnDelayed_2,Ackley_UnDelayed_2,Rastrigin_UnDelayed_10,Rastrigin_Delayed_1000,Zakharov_UnDelayed_1000
grid_cost,3.0426495212138177e+19,2.109196708731259e+19,141.6872669819352,48.4544450261156,1446.231665851914,37837.888709731145,1.6001330622664167,14.293520114168539,478.6676684171835,730613709255.1089,2273562.012274196,10.694291063515545,4732.566759165005,33.891802692205324,132.14533992617464,4.804865320969895,330.6504992516951,14.487490116689305,841.8770250130091,3.653270729154692e-07,55.48598703059364,75.19240834256185,19.496435103278156,6.8790042185320015,19.424844589887705,19.50252545576902,8454.530358978127,3.890346633750334,32895.95028028212,17.687835510238347,7.258301517925467e-07,16.99692164314347,83.62300375852179,3292.181849534219,558286678382.4221
grid_min,3.7895263157894736,2.5266842105263154,0.2114736842105263,0.2114736842105263,0.2114736842105263,3.9170833333333333,0.6324210526315789,0.2114736842105263,0.2114736842105263,4.833375,4.958541666666667,1.2860714285714285,4.0,0.5721428571428572,2.6673333333333336,1.4288571428571428,0.5721428571428572,0.4293571428571429,0.5721428571428572,3.7895263157894736,2.6673333333333336,4.333666666666667,0.2865714285714286,1.4288571428571428,0.001,0.2865714285714286,0.5721428571428572,1.4288571428571428,0.5721428571428572,0.2865714285714286,2.6673333333333336,1.8572142857142857,0.5721428571428572,0.5721428571428572,1.6675
grid_samples,20,20,20,20,20,25,20,20,20,25,25,15,20,15,25,15,15,15,15,20,25,25,15,15,15,15,15,15,15,15,25,15,15,15,25
max_delay,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
maxiter,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
