dim,1000,100,100,1000,100,100,100,100,100,100,2,10,10,2,2,2,10,1000,10,1000,1000,10,2,1000,10,1000,1000,2,2,10,2,10,2,2,10,10,10,100,100,100,100,1000,1000,1000,2,2,10,10,10,100,100,100,100,1000,1000,1000,2,2,10,10,10,100,100,100,100,100,1000,1000,1000,1000,1000,2,2,10,10,10,100,100,100,1000,1000,1000
max_delay,2,2,2,2,5,2,2,5,5,5,2,2,5,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,5,2,5,5,2,2,2,5,5,5,2,5,2,2,5,5,2,2,5,5,2,5,2,2,2,5,5,2,5,2,5,5,2,2,5,2,5,2,2,5,2,5,5,2,5,2,2
num_delays,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
use_delays,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
maxiter,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
cost_function,rosenbrock,rosenbrock,zakharov,zakharov,zakharov,rastrigin,ackley,rosenbrock,rastrigin,ackley,rosenbrock,rastrigin,rosenbrock,zakharov,ackley,rastrigin,ackley,rastrigin,zakharov,ackley,zakharov,rastrigin,rosenbrock,rosenbrock,zakharov,rastrigin,ackley,ackley,zakharov,ackley,rastrigin,rosenbrock,ackley,ackley,ackley,ackley,ackley,ackley,ackley,ackley,ackley,ackley,ackley,ackley,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rastrigin,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,rosenbrock,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov,zakharov
tol,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05,1E-05
num_runs,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
filename,Rosenbrock_Delayed_1000_2,Rosenbrock_Delayed_100_2,Zakharov_Delayed_100_2,Zakharov_Delayed_1000_2,Zakharov_Delayed_100_5,Rastrigin_Delayed_100_2,Ackley_Delayed_100_2,Rosenbrock_Delayed_100_5,Rastrigin_Delayed_100_5,Ackley_Delayed_100_5,Rosenbrock_Delayed_2_2,Rastrigin_Delayed_10_2,Rosenbrock_Delayed_10_5,Zakharov_Delayed_2_2,Ackley_Delayed_2_2,Rastrigin_Delayed_2_2,Ackley_Delayed_10_2,Rastrigin_Delayed_1000_2,Zakharov_Delayed_10_2,Ackley_Delayed_1000_2,Zakharov_Delayed_1000_5,Rastrigin_Delayed_10_5,Rosenbrock_Delayed_2_5,Rosenbrock_Delayed_1000_5,Zakharov_Delayed_10_5,Rastrigin_Delayed_1000_5,Ackley_Delayed_1000_5,Ackley_Delayed_2_5,Zakharov_Delayed_2_5,Ackley_Delayed_10_5,Rastrigin_Delayed_2_5,Rosenbrock_Delayed_10_2,Ackley_Delayed_2_2,Ackley_Delayed_2_5,Ackley_Delayed_10_2,Ackley_Delayed_10_5,Ackley_Delayed_10_2,Ackley_Delayed_100_5,Ackley_Delayed_100_5,Ackley_Delayed_100_2,Ackley_Delayed_100_2,Ackley_Delayed_1000_2,Ackley_Delayed_1000_5,Ackley_Delayed_1000_5,Rastrigin_Delayed_2_5,Rastrigin_Delayed_2_2,Rastrigin_Delayed_10_5,Rastrigin_Delayed_10_2,Rastrigin_Delayed_10_2,Rastrigin_Delayed_100_5,Rastrigin_Delayed_100_5,Rastrigin_Delayed_100_2,Rastrigin_Delayed_100_2,Rastrigin_Delayed_1000_5,Rastrigin_Delayed_1000_5,Rastrigin_Delayed_1000_2,Rosenbrock_Delayed_2_5,Rosenbrock_Delayed_2_2,Rosenbrock_Delayed_10_2,Rosenbrock_Delayed_10_2,Rosenbrock_Delayed_10_5,Rosenbrock_Delayed_100_5,Rosenbrock_Delayed_100_2,Rosenbrock_Delayed_100_5,Rosenbrock_Delayed_100_2,Rosenbrock_Delayed_100_5,Rosenbrock_Delayed_1000_5,Rosenbrock_Delayed_1000_2,Rosenbrock_Delayed_1000_2,Rosenbrock_Delayed_1000_5,Rosenbrock_Delayed_1000_2,Zakharov_Delayed_2_5,Zakharov_Delayed_2_2,Zakharov_Delayed_10_2,Zakharov_Delayed_10_5,Zakharov_Delayed_10_2,Zakharov_Delayed_100_5,Zakharov_Delayed_100_5,Zakharov_Delayed_100_2,Zakharov_Delayed_1000_5,Zakharov_Delayed_1000_2,Zakharov_Delayed_1000_2
num_initials,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
