loss_name,dim,delay_type,lr_type,min_lr,max_lr,step_size,gamma,p
Ackley,1000,undelayed,sin2,0.420991121639879,0.054138088070238,334.355610230797,,
Ackley,1000,undelayed,tri2,0.196678381913816,0.471724491200333,984.818801081314,,
Ackley,1000,undelayed,inv,,0.009508967272698,,0.899707530535596,0.298821396485841
Ackley,1000,stochastic,sin2,0.081490557007482,2.34805588794228,856.010721739515,,
Ackley,1000,stochastic,tri2,2.67001209507229,0.308514937658537,446.000515942952,,
Ackley,1000,stochastic,inv,,1.89307487478717,,1,0
Zakharov,1000,undelayed,sin2,0.665686088428621,2.75458156916142,311.135786982933,,
Zakharov,1000,undelayed,tri2,5.60765894963322,2.09273472246977,494.521071957496,,
Zakharov,1000,undelayed,inv,,6.23629072573214,,0.596881995576396,0.021857445184297
Zakharov,1000,stochastic,sin2,5.92992686451719,5.02040493251131,942.536441097518,,
Zakharov,1000,stochastic,tri2,5.74719557097084,4.91213058914673,656.941830325699,,
Zakharov,1000,stochastic,inv,,5.71110602270459,,0.351502577118679,0.032566134123827
